
1	6.952	1
2	7.026	1
3	7.068	1
4	7.058	1
5	7.044	1
6	7.032	1
8	7.033	1
9	7.038	1
10	7.036	1
11	7.046	1
12	7.054	1
13	7.066	1
14	7.071	1
15	6.977	1
16	6.99	1
17	6.997	1
18	6.945	1
19	6.928	1
20	6.921	1
21	6.944	1
22	6.923	1
23	7.026	1
24	6.99	1
25	7.025	1
26	7.054	1
27	7.08	1
28	7.059	1
29	7.065	1
30	7.051	1
31	7.035	1
32	7.04	1
33	7.03	1
34	6.975	1
35	6.994	1
36	6.998	1
37	7.028	1
38	7.07	1
39	7.054	1
40	7.066	1
41	7.069	1
42	7.053	1
43	7.04	1
44	7.036	1
45	7.047	1
46	7.053	1
47	7.048	1
48	7.024	1
49	7.036	1
50	6.957	1
51	7.04	1
52	7.078	1
53	7.065	1
54	7.049	1
55	7.042	1
56	6.997	1
57	6.995	1
58	6.957	1
59	6.907	1
60	6.998	1
61	7.021	1
62	7.017	1
65	7.004	1
66	7.02	1
67	6.974	1
68	6.965	1
69	6.905	1
70	6.916	1
71	7.006	1
72	7.078	1
73	7.074	1
74	7.003	1
75	7.014	1
76	7.071	1
77	7.065	1
78	7.052	1
79	7.041	1
80	7.016	1
81	6.938	1
82	6.958	1
83	6.922	1
84	6.979	1
85	6.965	1
86	7.064	1
87	7.08	1
88	7.037	1
89	6.985	1
90	6.984	1
91	6.969	1
92	7.001	1
93	7.065	1
